time,PHOT,WTON,HROR,ES_Hydro reservoir,ES_Pumped storage fleet,ES_Waste fleet,ES_Biomass fleet,ES_OCGT fleet Standard,ES_CCGT fleet cogen
2016-01-01 00:00:00,0,0.24762,0.367748003900833,0.86,1,0.3508,0.18,0.96,0.92
2016-01-01 01:00:00,0,0.23874,0.367748003900833,0.86,1,0.3508,0.18,0.96,0.92
2016-01-01 02:00:00,0,0.22709,0.367748003900833,0.86,1,0.3508,0.18,0.96,0.92
2016-01-01 03:00:00,0,0.21426,0.367748003900833,0.86,1,0.3508,0.18,0.96,0.92
2016-01-01 04:00:00,0,0.19246,0.367748003900833,0.86,1,0.3508,0.18,0.96,0.92
2016-01-01 05:00:00,0,0.17542,0.367748003900833,0.86,1,0.3508,0.18,0.96,0.92
2016-01-01 06:00:00,0,0.1536,0.367748003900833,0.86,1,0.3508,0.18,0.96,0.92
2016-01-01 07:00:00,0,0.14648,0.367748003900833,0.86,1,0.3508,0.18,0.96,0.92
2016-01-01 08:00:00,0.140594921989109,0.12512,0.367748003900833,0.86,1,0.3508,0.18,0.96,0.92
2016-01-01 09:00:00,0.368293310463122,0.07278,0.367748003900833,0.86,1,0.3508,0.18,0.96,0.92
2016-01-01 10:00:00,0.531351734518851,0.05334,0.367748003900833,0.86,1,0.3508,0.18,0.96,0.92
2016-01-01 11:00:00,0.606658397043535,0.07171,0.367748003900833,0.86,1,0.3508,0.18,0.96,0.92
2016-01-01 12:00:00,0.642199635746912,0.08768,0.367748003900833,0.86,1,0.3508,0.18,0.96,0.92
2016-01-01 13:00:00,0.625,0.09283,0.367748003900833,0.86,1,0.3508,0.18,0.96,0.92
2016-01-01 14:00:00,0.55720587889753,0.09802,0.367748003900833,0.86,1,0.3508,0.18,0.96,0.92
2016-01-01 15:00:00,0.414136937310294,0.10073,0.367748003900833,0.86,1,0.3508,0.18,0.96,0.92
2016-01-01 16:00:00,0.177558545746678,0.10299,0.367748003900833,0.86,1,0.3508,0.18,0.96,0.92
2016-01-01 17:00:00,0,0.11389,0.367748003900833,0.86,1,0.3508,0.18,0.96,0.92
2016-01-01 18:00:00,0,0.11623,0.367748003900833,0.86,1,0.3508,0.18,0.96,0.92
2016-01-01 19:00:00,0,0.11267,0.367748003900833,0.86,1,0.3508,0.18,0.96,0.92
2016-01-01 20:00:00,0,0.10996,0.367748003900833,0.86,1,0.3508,0.18,0.96,0.92
2016-01-01 21:00:00,0,0.10951,0.367748003900833,0.86,1,0.3508,0.18,0.96,0.92
2016-01-01 22:00:00,0,0.11245,0.367748003900833,0.86,1,0.3508,0.18,0.96,0.92
2016-01-01 23:00:00,0,0.11468,0.367748003900833,0.86,1,0.3508,0.18,0.96,0.92
2016-01-02 00:00:00,0,0.11882,0.434084646805241,0.86,1,0.3508,0.18,0.96,0.92
2016-01-02 01:00:00,0,0.12546,0.434084646805241,0.86,1,0.3508,0.18,0.96,0.92
2016-01-02 02:00:00,0,0.13485,0.434084646805241,0.86,1,0.3508,0.18,0.96,0.92
2016-01-02 03:00:00,0,0.15642,0.434084646805241,0.86,1,0.3508,0.18,0.96,0.92
2016-01-02 04:00:00,0,0.17448,0.434084646805241,0.86,1,0.3508,0.18,0.96,0.92
2016-01-02 05:00:00,0,0.18024,0.434084646805241,0.86,1,0.3508,0.18,0.96,0.92
2016-01-02 06:00:00,0,0.17578,0.434084646805241,0.86,1,0.3508,0.18,0.96,0.92
2016-01-02 07:00:00,0,0.16874,0.434084646805241,0.86,1,0.3508,0.18,0.96,0.92
