time,PHOT,WTON,WTOF,HROR,GB_Pumped storage fleet,GB_Waste fleet,GB_Biomass fleet,GB_OCGT fleet Modern,GB_OCGT fleet Standard,GB_Oil fleet Standard,GB_Oil fleet Subcritical,GB_Other renewable fleet
2016-01-01 00:00:00,0,0.663081988,0.57224,0.34340146289716,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-01 01:00:00,0,0.64751567,0.57203,0.34340146289716,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-01 02:00:00,0,0.626140551,0.56428,0.34340146289716,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-01 03:00:00,0,0.603461222,0.55128,0.34340146289716,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-01 04:00:00,0,0.584644508,0.54259,0.34340146289716,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-01 05:00:00,0,0.576496993,0.55096,0.34340146289716,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-01 06:00:00,0,0.579383982,0.56645,0.34340146289716,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-01 07:00:00,0,0.606033555,0.58387,0.34340146289716,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-01 08:00:00,0.0143603133159269,0.646072175,0.5949,0.34340146289716,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-01 09:00:00,0.018766318537859,0.684788857,0.59583,0.34340146289716,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-01 10:00:00,0.0357375979112272,0.713293447,0.59575,0.34340146289716,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-01 11:00:00,0.0426457789382071,0.735511238,0.59436,0.34340146289716,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-01 12:00:00,0.0488468233246301,0.747140234,0.59402,0.34340146289716,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-01 13:00:00,0.043733681462141,0.746794555,0.59402,0.34340146289716,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-01 14:00:00,0.0351392515230635,0.74330421,0.59401,0.34340146289716,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-01 15:00:00,0.0177328111401218,0.73791453,0.59387,0.34340146289716,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-01 16:00:00,0.00875761531766754,0.734262741,0.59371,0.34340146289716,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-01 17:00:00,0,0.734129155,0.59373,0.34340146289716,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-01 18:00:00,0,0.728505223,0.59385,0.34340146289716,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-01 19:00:00,0,0.725290282,0.59397,0.34340146289716,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-01 20:00:00,0,0.73231339,0.59402,0.34340146289716,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-01 21:00:00,0,0.747792972,0.59402,0.34340146289716,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-01 22:00:00,0,0.765242165,0.59402,0.34340146289716,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-01 23:00:00,0,0.775842988,0.59402,0.34340146289716,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-02 00:00:00,0,0.779373219,0.59402,0.41062173450139,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-02 01:00:00,0,0.778482431,0.59402,0.41062173450139,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-02 02:00:00,0,0.779345996,0.59402,0.41062173450139,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-02 03:00:00,0,0.780464704,0.59402,0.41062173450139,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-02 04:00:00,0,0.779342197,0.59402,0.41062173450139,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-02 05:00:00,0,0.776051282,0.59402,0.41062173450139,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-02 06:00:00,0,0.767946819,0.59591,0.41062173450139,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-02 07:00:00,0,0.75254321,0.59452,0.41062173450139,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-02 08:00:00,0.0144147084421236,0.735482748,0.58993,0.41062173450139,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-02 09:00:00,0.0794168842471714,0.715622032,0.5808,0.41062173450139,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-02 10:00:00,0.193537859007833,0.696128522,0.56876,0.41062173450139,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-02 11:00:00,0.287260661444735,0.6867629,0.56801,0.41062173450139,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-02 12:00:00,0.327186684073107,0.686404558,0.57119,0.41062173450139,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-02 13:00:00,0.289762837249782,0.693041469,0.56927,0.41062173450139,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-02 14:00:00,0.201914708442124,0.693427034,0.57487,0.41062173450139,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-02 15:00:00,0.0673955613577023,0.675503007,0.57332,0.41062173450139,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-02 16:00:00,0.00883920800696258,0.653941121,0.55629,0.41062173450139,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-02 17:00:00,0,0.632604622,0.53382,0.41062173450139,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-02 18:00:00,0,0.609478316,0.50307,0.41062173450139,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-02 19:00:00,0,0.581708135,0.47472,0.41062173450139,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-02 20:00:00,0,0.555222539,0.44979,0.41062173450139,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-02 21:00:00,0,0.551635328,0.44686,0.41062173450139,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-02 22:00:00,0,0.556828743,0.45348,0.41062173450139,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-02 23:00:00,0,0.562088636,0.46126,0.41062173450139,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-03 00:00:00,0,0.562203229,0.46709,0.394584890436015,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-03 01:00:00,0,0.55702944,0.47979,0.394584890436015,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-03 02:00:00,0,0.542443811,0.49863,0.394584890436015,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-03 03:00:00,0,0.496254511,0.48764,0.394584890436015,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-03 04:00:00,0,0.430231719,0.448,0.394584890436015,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-03 05:00:00,0,0.362101931,0.38909,0.394584890436015,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-03 06:00:00,0,0.295666983,0.30753,0.394584890436015,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-03 07:00:00,0,0.242633112,0.22529,0.394584890436015,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-03 08:00:00,0.014523498694517,0.202350111,0.15909,0.394584890436015,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-03 09:00:00,0.0366079199303742,0.193804368,0.13792,0.394584890436015,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-03 10:00:00,0.0626087902523934,0.205905033,0.13489,0.394584890436015,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-03 11:00:00,0.0651653611836379,0.209236467,0.09899,0.394584890436015,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-03 12:00:00,0.0787641427328111,0.220135486,0.04418,0.394584890436015,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-03 13:00:00,0.0857811140121845,0.241095916,0.05251,0.394584890436015,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-03 14:00:00,0.0828437771975631,0.258138651,0.08931,0.394584890436015,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-03 15:00:00,0.0407419495213229,0.257527699,0.15658,0.394584890436015,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-03 16:00:00,0.00941035683202785,0.243121874,0.2049,0.394584890436015,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-03 17:00:00,0,0.216241216,0.21547,0.394584890436015,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-03 18:00:00,0,0.186795188,0.20096,0.394584890436015,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-03 19:00:00,0,0.167392213,0.18129,0.394584890436015,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-03 20:00:00,0,0.157074391,0.17624,0.394584890436015,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-03 21:00:00,0,0.155812599,0.17095,0.394584890436015,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-03 22:00:00,0,0.14958088,0.16055,0.394584890436015,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-03 23:00:00,0,0.141612536,0.14848,0.394584890436015,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-04 00:00:00,0,0.1388566,0.13551,0.361916038637287,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-04 01:00:00,0,0.137923393,0.12918,0.361916038637287,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-04 02:00:00,0,0.132553973,0.12353,0.361916038637287,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-04 03:00:00,0,0.127666983,0.11519,0.361916038637287,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-04 04:00:00,0,0.121229503,0.10159,0.361916038637287,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-04 05:00:00,0,0.117745489,0.08536,0.361916038637287,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-04 06:00:00,0,0.121508705,0.07227,0.361916038637287,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-04 07:00:00,0,0.131468819,0.06527,0.361916038637287,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-04 08:00:00,0.0149042645778938,0.140279202,0.06291,0.361916038637287,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-04 09:00:00,0.0469429939077459,0.147022475,0.0641,0.361916038637287,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
2016-01-04 10:00:00,0.120539599651871,0.155262425,0.06617,0.361916038637287,1,0.43,0.43,0.96,0.96,0.9,0.9,0.2387
